CH1,CH2,CH3,CH4
5.34E-03,2.63E-03,-1.09E-01,-2.12E-03
5.55E-03,1.79E-03,-1.11E-01,-2.97E-03
6.99E-03,2.73E-03,-1.13E-01,-3.63E-03
7.64E-03,4.23E-03,-1.13E-01,-3.09E-03
6.61E-03,4.20E-03,-1.10E-01,-2.13E-03
5.33E-03,2.62E-03,-1.09E-01,-2.11E-03
5.54E-03,1.79E-03,-1.11E-01,-2.95E-03
6.97E-03,2.73E-03,-1.13E-01,-3.63E-03
7.62E-03,4.21E-03,-1.13E-01,-3.10E-03
6.60E-03,4.17E-03,-1.10E-01,-2.13E-03
5.32E-03,2.60E-03,-1.09E-01,-2.10E-03
5.52E-03,1.77E-03,-1.11E-01,-2.95E-03
6.95E-03,2.72E-03,-1.13E-01,-3.62E-03
7.61E-03,4.20E-03,-1.13E-01,-3.10E-03
6.59E-03,4.16E-03,-1.10E-01,-2.14E-03
5.31E-03,2.58E-03,-1.09E-01,-2.11E-03
5.51E-03,1.77E-03,-1.11E-01,-2.95E-03
6.93E-03,2.71E-03,-1.13E-01,-3.62E-03
7.60E-03,4.19E-03,-1.13E-01,-3.10E-03
6.59E-03,4.14E-03,-1.10E-01,-2.15E-03
5.30E-03,2.57E-03,-1.09E-01,-2.11E-03
5.50E-03,1.75E-03,-1.11E-01,-2.95E-03
6.92E-03,2.70E-03,-1.13E-01,-3.62E-03
7.59E-03,4.18E-03,-1.13E-01,-3.10E-03
6.58E-03,4.12E-03,-1.10E-01,-2.15E-03
5.29E-03,2.54E-03,-1.09E-01,-2.12E-03
5.48E-03,1.73E-03,-1.11E-01,-2.94E-03
6.90E-03,2.69E-03,-1.13E-01,-3.63E-03
7.58E-03,4.18E-03,-1.13E-01,-3.12E-03
6.59E-03,4.11E-03,-1.10E-01,-2.17E-03
5.30E-03,2.52E-03,-1.09E-01,-2.12E-03
5.47E-03,1.71E-03,-1.11E-01,-2.94E-03
6.90E-03,2.70E-03,-1.13E-01,-3.62E-03
7.59E-03,4.19E-03,-1.13E-01,-3.12E-03
6.61E-03,4.12E-03,-1.10E-01,-2.17E-03
5.30E-03,2.51E-03,-1.09E-01,-2.11E-03
5.46E-03,1.71E-03,-1.11E-01,-2.93E-03
6.88E-03,2.69E-03,-1.13E-01,-3.62E-03
7.59E-03,4.20E-03,-1.13E-01,-3.13E-03
6.61E-03,4.13E-03,-1.10E-01,-2.17E-03
5.30E-03,2.52E-03,-1.09E-01,-2.11E-03
5.46E-03,1.71E-03,-1.11E-01,-2.93E-03
6.87E-03,2.69E-03,-1.13E-01,-3.62E-03
