CH1,CH2,CH3,CH4,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.75E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.46E-03,-8.72E-03,,,,,,,,,,,,,
-8.81E-03,-6.02E-03,5.38E-03,-8.57E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.10E-03,-1.05E-02,,,,,,,,,,,,,
-9.42E-03,-6.37E-03,4.09E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.29E-03,3.75E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.08E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.58E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.10E-03,-1.05E-02,,,,,,,,,,,,,
-9.42E-03,-6.37E-03,4.09E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.81E-03,-6.01E-03,5.37E-03,-8.57E-03,,,,,,,,,,,,,
-9.27E-03,-6.22E-03,5.10E-03,-1.05E-02,,,,,,,,,,,,,
-9.42E-03,-6.37E-03,4.09E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.44E-03,-8.73E-03,,,,,,,,,,,,,
-8.81E-03,-6.02E-03,5.37E-03,-8.57E-03,,,,,,,,,,,,,
-9.27E-03,-6.22E-03,5.10E-03,-1.05E-02,,,,,,,,,,,,,
